link,mass_kg,com_local_x,com_local_y,com_local_z,world_x,world_y,world_z,qw,qx,qy,qz,ixx,iyy,izz
pelvis,3.813,0.0,0.0,-0.07605,7.8,2.0,0.797517,0.707388,-0.0,0.0,0.706825,0.010549,0.0093089,0.0079184
imu_in_pelvis,1.0,0.0,0.0,0.0,7.800036,2.04525,0.714127,0.707388,-0.0,0.0,0.706825,0.0001,0.0001,0.0001
left_hip_pitch_link,1.35,0.002741,0.047791,-0.02606,7.735548,2.000051,0.694817,0.706504,0.035327,-0.035355,0.705942,0.001811,0.0014193,0.0012812
pelvis_contour_link,0.001,0.0,0.0,0.0,7.8,2.0,0.797517,0.707388,-0.0,0.0,0.706825,1e-07,1e-07,1e-07
right_hip_pitch_link,1.35,0.002741,-0.047791,-0.02606,7.864452,1.999949,0.694817,0.706504,0.035327,-0.035355,0.705942,0.001811,0.0014193,0.0012812
waist_yaw_link,0.214,0.003494,0.000233,0.018034,7.8,2.0,0.797517,0.707388,-0.0,-0.0,0.706825,0.00010673,0.00010422,0.0001625
left_hip_roll_link,1.52,0.029812,-0.001045,-0.087934,7.683551,2.003134,0.664505,0.700717,0.096847,-0.096925,0.700159,0.0023773,0.0024123,0.0016595
right_hip_roll_link,1.52,0.029812,0.001045,-0.087934,7.916455,2.002949,0.664505,0.700717,0.096848,-0.096925,0.700159,0.0023773,0.0024123,0.0016595
waist_roll_link,0.086,0.0,2.3e-05,0.0,7.799997,1.996037,0.841517,0.707388,-0.0,-0.0,0.706825,7.08e-06,6.34e-06,8.24e-06
left_hip_yaw_link,1.702,-0.057709,-0.010981,-0.15078,7.683597,2.060889,0.551831,0.700717,0.096847,-0.096925,0.700159,0.0057774,0.0076124,0.003149
right_hip_yaw_link,1.702,-0.057709,0.010981,-0.15078,7.916501,2.060703,0.551831,0.700717,0.096848,-0.096925,0.700159,0.0057774,0.0076124,0.003149
torso_link,6.78,0.000931,0.000346,0.15082,7.799997,1.996037,0.841517,0.707388,-0.0,-0.0,0.706825,0.05904999,0.047014,0.025652
left_knee_link,1.932,0.005457,0.003964,-0.12074,7.681426,2.033695,0.359903,0.703854,-0.070565,0.070621,0.703294,0.011329,0.011277,0.0015168
right_knee_link,1.932,0.005457,-0.003964,-0.12074,7.918628,2.033506,0.359903,0.703854,-0.070565,0.070621,0.703294,0.011329,0.011277,0.0015168
d435_link,1.0,0.0,0.0,0.0,7.782513,2.053674,1.271388,0.647232,-0.285236,0.285463,0.646717,0.0001,0.0001,0.0001
head_link,1.036,0.005267,0.000299,0.449869,7.8,2.0,0.797517,0.707388,-0.0,-0.0,0.706825,0.00408505,0.00418521,0.00180791
imu_in_torso,1.0,0.0,0.0,0.0,7.802206,1.956445,0.989437,0.707388,-0.0,-0.0,0.706825,0.0001,0.0001,0.0001
left_shoulder_pitch_link,0.718,0.0,0.035892,-0.011628,7.69978,2.000073,1.089298,0.677999,-0.007234,0.201988,0.706729,0.0004291,0.000453,0.000423
logo_link,0.001,0.0,0.0,0.0,7.8,2.0,0.797517,0.707388,-0.0,-0.0,0.706825,1e-07,1e-07,1e-07
mid360_link,1.0,0.0,0.0,0.0,7.799967,1.99632,1.269951,0.018065,0.707157,0.706594,-0.018079,0.0001,0.0001,0.0001
right_shoulder_pitch_link,0.718,0.0,-0.035892,-0.011628,7.90021,1.999913,1.089298,0.707268,-0.201982,0.007395,0.677437,0.0004291,0.000453,0.000423
left_ankle_pitch_link,0.074,-0.007269,0.0,0.011137,7.681473,1.974093,0.065873,0.707388,-0.0,0.0,0.706825,8.4e-06,1.89e-05,1.26e-05
right_ankle_pitch_link,0.074,-0.007269,0.0,0.011137,7.918486,1.973904,0.065873,0.707388,0.0,-0.0,0.706825,8.4e-06,1.89e-05,1.26e-05
left_shoulder_roll_link,0.643,-0.000227,0.00727,-0.063243,7.659606,1.996025,1.087073,0.677821,-0.017148,0.191631,0.709607,0.0006177,0.0006912,0.0003894
right_shoulder_roll_link,0.643,-0.000227,-0.00727,-0.063243,7.940378,1.995801,1.087073,0.710147,-0.191617,0.017301,0.677256,0.0006177,0.0006912,0.0003894
left_ankle_roll_link,0.608,0.026505,0.0,-0.016425,7.681473,1.974092,0.048315,0.707388,-0.0,0.0,0.706825,0.0002231,0.0016161,0.0016667
right_ankle_roll_link,0.608,0.026505,0.0,-0.016425,7.918486,1.973904,0.048315,0.707388,0.0,-0.0,0.706825,0.0002231,0.0016161,0.0016667
left_shoulder_yaw_link,0.734,0.010773,-0.002949,-0.072009,7.629264,1.965511,0.993065,0.677821,-0.017148,0.191631,0.709607,0.0009988,0.0010605,0.0004354
right_shoulder_yaw_link,0.734,0.010773,0.002949,-0.072009,7.970671,1.965239,0.993065,0.710147,-0.191617,0.017301,0.677256,0.0009988,0.0010605,0.0004354
left_elbow_link,0.6,0.064956,0.004454,-0.010062,7.609035,1.95682,0.914024,0.510311,-0.345995,0.485537,0.619777,0.0002891,0.0004152,0.0004197
right_elbow_link,0.6,0.064956,-0.004454,-0.010062,7.990886,1.956516,0.914024,0.620183,-0.485261,0.346382,0.509818,0.0002891,0.0004152,0.0004197
left_wrist_roll_link,0.085445,0.017139,0.000538,0.0,7.582566,1.976913,0.819159,0.534802,-0.306785,0.530612,0.581653,4.822e-05,3.723e-05,5.482e-05
right_wrist_roll_link,0.085445,0.017139,-0.000538,0.0,8.017387,1.976567,0.819159,0.582079,-0.530367,0.307208,0.534339,4.822e-05,3.723e-05,5.482e-05
left_wrist_pitch_link,0.48405,0.023,-0.001117,-0.001117,7.573456,1.988183,0.784031,0.534802,-0.306785,0.530612,0.581653,0.0001658,0.00042954,0.00042954
right_wrist_pitch_link,0.48405,0.023,0.001117,-0.001117,8.026515,1.987822,0.784031,0.582079,-0.530367,0.307208,0.534339,0.0001658,0.00042954,0.00042954
left_wrist_yaw_link,0.084576,0.022004,0.000495,0.000539,7.562428,2.001825,0.741507,0.534802,-0.306785,0.530612,0.581653,4.929e-05,5.973e-05,3.928e-05
right_wrist_yaw_link,0.084576,0.022004,-0.000495,0.000539,8.037565,2.001447,0.741507,0.582079,-0.530367,0.307208,0.534339,4.929e-05,5.973e-05,3.928e-05
base_link00L,0.732177,-0.022759,0.027982,0.011935,7.549635,2.014538,0.704011,0.670141,-0.395273,-0.446314,0.442124,0.00047394,0.00055299,0.0008493
base_link00,0.685702,-0.023027,0.027982,-0.017178,8.050377,2.014139,0.704011,0.446629,-0.442658,-0.669789,0.394917,0.00077897,0.00061102,0.00106149
Link_41L,0.004497,0.007826,-5e-06,-0.004125,7.521649,2.004555,0.628944,-0.595093,-0.161229,-0.78649,-0.036094,9e-08,1.4e-07,1e-07
